field,mappings
occurrenceID,
institutionCode,
catalogNumber,
scientificName,
order,
family,
genus,
specificEpithet,
day,
month,
year,
countryCode,
stateProvince,
decimalLatitude,
decimalLongitude,
dynamicProperties,
occurrenceRemarks,
fieldNotes,
body_mass,http://purl.obolibrary.org/obo/OBA_VT0001259
body_mass_ambiguous,
body_mass_units_inferred,
ear_from_notch,
ear_length,http://purl.obolibrary.org/obo/OBA_0003426
ear_length_units_inferred,
embryo_count,http://purl.obolibrary.org/obo/UBERON_0000995|http://purl.obolibrary.org/obo/UBERON_0009098
embryo_length,
embryo_size_units_inferred,
forearm_length,http://purl.obolibrary.org/obo/FOVT_0001379
hind_foot_length,http://purl.obolibrary.org/obo/OBA_1000049
hind_foot_length_units_inferred,
hind_foot_with_claw,http://purl.obolibrary.org/obo/FOVT_0000003
lactation,http://purl.obolibrary.org/obo/UBERON_0001911
life_stage,http://purl.obolibrary.org/obo/UBERON_0000105
nipple,http://purl.obolibrary.org/obo/OBA_VT0006078
nipple_count,http://purl.obolibrary.org/obo/OBA_VT1000206
pregnancy,http://purl.obolibrary.org/obo/UBERON_0000995
sex,http://purl.obolibrary.org/obo/PATO_0000047
tail_length,http://purl.obolibrary.org/obo/OBA_VT0002758
tail_length_estimated,
tail_length_units_inferred,
testicle_description,http://purl.obolibrary.org/obo/OBA_VT0001146
testicle_length,http://purl.obolibrary.org/obo/FOVT_0001057
testicle_size_units_inferred,
testicle_width,http://purl.obolibrary.org/obo/FOVT_0001368
total_length,http://purl.obolibrary.org/obo/OBA_VT0001256
total_length_ambiguous,
total_length_estimated,
total_length_units_inferred,
tragus_length,
vagina,http://purl.obolibrary.org/obo/OBA_VT0001139
